music_id,title,performer,release_date,album_type,medium,genre,rating,rating_count,cover_link
2995812,We Sing. We Dance. We Steal Things.,Jason Mraz,2008-05-13,Import,Audio CD,民谣,9.1,116144,https://img2.doubanio.com/view/subject/s/public/s2967252.jpg
3040149,Viva La Vida Death And All His Friends,Coldplay,2008-06-17,专辑,CD,摇滚,9.0,118318,https://img9.doubanio.com/view/subject/s/public/s3054604.jpg
1427374,华丽的冒险 華麗的冒險,陈绮贞,2005-09-23,专辑,CD,流行,9.0,89806,https://img9.doubanio.com/view/subject/s/public/s1441645.jpg
1403307,范特西 Fantasy,周杰伦,2001-09-14,专辑,CD,流行,9.5,177338,https://img2.doubanio.com/view/subject/s/public/s3750422.jpg
3259411,後。青春期的詩 后青春期的诗,五月天,2008-10-23,专辑,CD,摇滚,9.0,95471,https://img1.doubanio.com/view/subject/s/public/s3316597.jpg
5958397,是时候 It's Time,孙燕姿,2011-03-08,专辑,CD,流行,8.7,81947,https://img1.doubanio.com/view/subject/s/public/s4653287.jpg
3184419,Lenka,Lenka,2008-09-23,专辑,Audio CD,流行,8.6,83393,https://img9.doubanio.com/view/subject/s/public/s3259484.jpg
3041487,Start from Here 从这里开始,王若琳,2008-01-11,专辑,CD,爵士,8.8,75796,https://img1.doubanio.com/view/subject/s/public/s2874587.jpg
1395089,旅行的意义,陈绮贞,2004-02-02,单曲,CD,流行,9.1,99300,https://img2.doubanio.com/view/subject/s/public/s2617173.jpg
3390002,太阳 Immortal,陈绮贞,2009-01-22,专辑,CD,流行,8.7,76147,https://img1.doubanio.com/view/subject/s/public/s3570839.jpg
2131368,Once (Soundtrack) Once / 电影《曾经》原声大碟,"Glen Hansard,Marketa Irglova",2007-05-22,Soundtrack,CD,原声,9.2,72960,https://img1.doubanio.com/view/subject/s/public/s2821080.jpg
1394765,Not Going Anywhere 守候,Keren Ann,2004-08-24,Import,Audio CD,民谣,8.9,62444,https://img1.doubanio.com/view/subject/s/public/s1431228.jpg
